,similarity_threshold,rating_threshold,user_coverage,catalogue_coverage
0,0.0,0,0.3519144144144144,0.922165820642978
1,0.0,1,0.33783783783783783,0.8494077834179357
2,0.0,2,0.33614864864864863,0.8443316412859561
3,0.0,3,0.2849099099099099,0.6785109983079526
4,0.0,4,0.26407657657657657,0.6159052453468697
5,0.0,5,0.19594594594594594,0.38578680203045684
6,0.2,0,0.3519144144144144,0.922165820642978
7,0.2,1,0.33783783783783783,0.8494077834179357
8,0.2,2,0.33614864864864863,0.8443316412859561
9,0.2,3,0.2849099099099099,0.6785109983079526
10,0.2,4,0.26407657657657657,0.6159052453468697
11,0.2,5,0.19594594594594594,0.38578680203045684
12,0.4,0,0.3519144144144144,0.922165820642978
13,0.4,1,0.33783783783783783,0.8494077834179357
14,0.4,2,0.33614864864864863,0.8443316412859561
15,0.4,3,0.2849099099099099,0.6785109983079526
16,0.4,4,0.26407657657657657,0.6159052453468697
17,0.4,5,0.19594594594594594,0.38578680203045684
18,0.6,0,0.3519144144144144,0.922165820642978
19,0.6,1,0.33783783783783783,0.8494077834179357
20,0.6,2,0.33614864864864863,0.8443316412859561
21,0.6,3,0.2849099099099099,0.6785109983079526
22,0.6,4,0.26407657657657657,0.6159052453468697
23,0.6,5,0.19481981981981983,0.38578680203045684
24,0.8,0,0.3519144144144144,0.922165820642978
25,0.8,1,0.33783783783783783,0.8494077834179357
26,0.8,2,0.33614864864864863,0.8443316412859561
27,0.8,3,0.2849099099099099,0.6785109983079526
28,0.8,4,0.26407657657657657,0.6159052453468697
29,0.8,5,0.19481981981981983,0.38578680203045684
30,1.0,0,0.30574324324324326,0.9120135363790186
31,1.0,1,0.29335585585585583,0.8257191201353637
32,1.0,2,0.2916666666666667,0.8189509306260575
33,1.0,3,0.2483108108108108,0.6362098138747885
34,1.0,4,0.23141891891891891,0.5634517766497462
35,1.0,5,0.1661036036036036,0.3536379018612521
