,k_neighbors,rating_threshold,user_coverage,catalogue_coverage
0,1,0,0.9949324324324325,0.9255499153976311
1,1,1,0.49436936936936937,0.8206429780033841
2,1,2,0.49155405405405406,0.817258883248731
3,1,3,0.3811936936936937,0.6548223350253807
4,1,4,0.34290540540540543,0.5871404399323181
5,1,5,0.22353603603603603,0.35194585448392557
6,2,0,0.9994369369369369,0.949238578680203
7,2,1,0.982545045045045,0.8967851099830795
8,2,2,0.9797297297297297,0.8950930626057529
9,2,3,0.9082207207207207,0.7529610829103215
10,2,4,0.8738738738738738,0.6751269035532995
11,2,5,0.7466216216216216,0.4179357021996616
12,3,0,1.0,0.9424703891708968
13,3,1,0.9988738738738738,0.9120135363790186
14,3,2,0.9988738738738738,0.9103214890016921
15,3,3,0.981418918918919,0.7766497461928934
16,3,4,0.9712837837837838,0.6971235194585449
17,3,5,0.8969594594594594,0.4365482233502538
18,4,0,1.0,0.9272419627749577
19,4,1,1.0,0.9153976311336718
20,4,2,1.0,0.9137055837563451
21,4,3,0.9977477477477478,0.7817258883248731
22,4,4,0.9949324324324325,0.7106598984771574
23,4,5,0.9594594594594594,0.44839255499153974
24,5,0,1.0,0.9137055837563451
25,5,1,1.0,0.9069373942470389
26,5,2,1.0,0.9052453468697124
27,5,3,0.9994369369369369,0.7834179357021996
28,5,4,0.9983108108108109,0.7123519458544839
29,5,5,0.9842342342342343,0.45685279187817257
